,price,ID,address,prce,lat,lon
27458,700000,117679699,1A Goodwin Street Blackburn Vic 3130 ,13.458835614025542,-37.8127352,145.1643185
49343,929000,120385549,10 Winsome Street Mentone Vic 3194 ,13.741864017795976,-37.975855,145.0635093
36781,1060000,118962751,5 Chandler Street Williamstown Vic 3016 ,13.87377946608825,-37.8519072,144.8943796
36895,1120000,118974879,6 Cameo Court Bulleen Vic 3105 ,13.928839243271277,-37.7640135,145.0920116
40537,100000,119383787,9/388 Burwood Highway Burwood Vic 3125 ,11.512925464970229,-37.8505198,145.1009559
31233,765000,118154731,407/30 NewQuay Promenade Docklands Vic 3008 ,13.547631112808673,-37.8152934,144.9409806
39687,430000,119282911,16 Moonee Boulevard Glenroy Vic 3046 ,12.971540487669746,-37.6971564,144.9093739
8973,623500,114686487,1/40 Durham Road Surrey Hills Vic 3127 ,13.343104044102228,-37.8316933,145.0903259
48661,545000,120310037,1/147A Sycamore Street Caulfield South Vic 3162 ,13.208541073645382,-37.8896526,145.019848
28739,750000,117857571,4 Kindra Court Vermont South Vic 3133 ,13.527828485512494,-37.8543472,145.17241
11817,975000,115159979,103 Grandview Grove Rosanna Vic 3084 ,13.790192749979985,-37.7369297,145.062392
6707,761000,114222755,12 Jackson Street Northcote Vic 3070 ,13.542388636843823,-37.7785354,144.9987379
21173,1100000,116761067,33 Birdwood Street Box Hill South Vic 3128 ,13.9108207377686,-37.8323865,145.1256413
39812,1000000,119302571,2/65 Park Lane Mount Waverley Vic 3149 ,13.815510557964274,-37.8795137,145.1244964
14847,990000,115666823,18 Holding Street Beaumaris Vic 3193 ,13.805460222110773,-37.9907757,145.0341828
